SRRfile ,Bioproject,Species,SpeciesSmaller,Sample,Age/Size,Tissue,Sample#,FastqFileName
SRR25630409,PRJNA1005244,Campylomormyruscompressirostris,Cco,com100,adult,EO,1,Cco_com100_EO_adult_1
SRR25630408,PRJNA1005244,Campylomormyruscompressirostris,Cco,com101,adult,EO,1,Cco_com101_EO_adult_1
SRR25630407,PRJNA1005244,Campylomormyruscompressirostris,Cco,com102,adult,EO,1,Cco_com102_EO_adult_1
SRR25630406,PRJNA1005244,Campylomormyruscompressirostris,Cco,com103,adult,EO,1,Cco_com103_EO_adult_1
SRR25630312,PRJNA1005245,Campylomormyruscompressirostris,Cco,com104,6cm,EO,1,Cco_com104_EO_6cm_1
SRR25630373,PRJNA1005244,Campylomormyruscompressirostris,Cco,com12,adult,SM,1,Cco_com12_SM_adult_1
SRR25630374,PRJNA1005244,Campylomormyruscompressirostris,Cco,com12,adult,SM,2,Cco_com12_SM_adult_2
SRR25630375,PRJNA1005244,Campylomormyruscompressirostris,Cco,com12,adult,SM,3,Cco_com12_SM_adult_3
SRR25630311,PRJNA1005245,Campylomormyruscompressirostris,Cco,com121,6cm,EO,1,Cco_com121_EO_6cm_1
SRR25630309,PRJNA1005245,Campylomormyruscompressirostris,Cco,com123,6cm,EO,1,Cco_com123_EO_6cm_1
SRR25630310,PRJNA1005245,Campylomormyruscompressirostris,Cco,com123,6cm,EO,2,Cco_com123_EO_6cm_2
SRR25630307,PRJNA1005245,Campylomormyruscompressirostris,Cco,com124,6cm,EO,1,Cco_com124_EO_6cm_1
SRR25630308,PRJNA1005245,Campylomormyruscompressirostris,Cco,com124,6cm,EO,2,Cco_com124_EO_6cm_2
SRR25630305,PRJNA1005245,Campylomormyruscompressirostris,Cco,com125,6cm,EO,1,Cco_com125_EO_6cm_1
SRR25630306,PRJNA1005245,Campylomormyruscompressirostris,Cco,com125,6cm,EO,2,Cco_com125_EO_6cm_2
SRR25630370,PRJNA1005244,Campylomormyruscompressirostris,Cco,com13,adult,SM,1,Cco_com13_SM_adult_1
SRR25630371,PRJNA1005244,Campylomormyruscompressirostris,Cco,com13,adult,SM,2,Cco_com13_SM_adult_2
SRR25630372,PRJNA1005244,Campylomormyruscompressirostris,Cco,com13,adult,SM,3,Cco_com13_SM_adult_3
SRR25630368,PRJNA1005244,Campylomormyruscompressirostris,Cco,com14,adult,SM,1,Cco_com14_SM_adult_1
SRR25630369,PRJNA1005244,Campylomormyruscompressirostris,Cco,com14,adult,SM,2,Cco_com14_SM_adult_2
SRR25630366,PRJNA1005244,Campylomormyruscompressirostris,Cco,com15,adult,SM,1,Cco_com15_SM_adult_1
SRR25630367,PRJNA1005244,Campylomormyruscompressirostris,Cco,com15,adult,SM,2,Cco_com15_SM_adult_2
SRR25630410,PRJNA1005244,Campylomormyruscompressirostris,Cco,com97,adult,EO,1,Cco_com97_EO_adult_1
SRR25630384,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy110,adult,EO,1,CcoxCrh_comrhy110_EO_adult_1
SRR25630385,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy110,adult,EO,2,CcoxCrh_comrhy110_EO_adult_2
SRR25630382,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy111,adult,EO,1,CcoxCrh_comrhy111_EO_adult_1
